title,description,brand,category,price
CTA Digtal Hard Case for iPod nano 2G (Black),Black Hard Case for iPod nano 2nd Generation,CTA Digital,Cases,
ARKON LMC215 Laptop Mobile Connect Laptop Mount Bundled with Universal SM015-2 Phone Cradle,"The LMC215 Laptop Mobile Connect Mount allows you to securely hold your mobile phone from the screen of your laptop or notebook. It features spring-loaded cushioned support arms that grasp the right hand corner of your laptop or notebook's screen. Once installed, you'll enjoy having the close proximity of your cell phone making it the perfect solution for syncing or tethering your mobile phone, cell phone, or Smartphone. The LMC215 includes a universal side grip holder and is compatible with all mobile phones.",ARKON,Vehicle Mounts,
R-Tech RTSK7204HV04 Surveillance Kit with 4 Channel DVR and 4 Bullet Cameras (Black/Silver),"This surveillance kit includes an advanced level DVR (LDV-04HV) featuring 4 channels of high performance real-time record and playback, H.264 compression storage, HD video playback and the ability to monitor video feeds live from a mobile phone or internet browser. The DVR also comes with a pre-installed 500GB hard drive. The 4 silver bullet security cameras (RB52001) also included feature a 1/3"" Pixel Plus CMOS image sensor, 520 TV lines of resolution, a 3.6mm fixed lens and 24 IR LEDs with a range of 50ft. The cameras are also IP66 weather resistant and runs on DC 12V. The kit also includes 60ft. of Siames cabling per camera, a mouse, IR remote for the DVR, a power adapter for the cameras and DVR, a 4-way power splitter cable, the software for the DVR and more!",R-Tech,Surveillance DVR Kits,
Kicker 07DS460 4-Inch X 6-Inch Coax Speakers (Pair),"Kicker 07DS460 4-Inch X 6-Inch Coax Speakers (Pair) Amazon.com Product Description Great sounding, easy-to-install midrange and highs make all the difference in your audio system. DS-Series Coaxial Speakers and 3-Way System provide the cost-effective ammo to keep up with your bass upgrade. DS-Series Coaxial Speakers provide the cost-effective ammo to keep up with your bass upgrade. Click to enlarge. DS Speakers are the best value for serious, drop-in upgrades in your doors. The woofers bear a polypropylene cone, UV-treated ribbed surround, enduring voice coil, and an interior-pleasing fresh look. The half-inch tweeters take the performance cues of higher-end coaxials, using a super-strong neodymium magnet and PEI (polyether imide) dome for louder, better-sounding highs. The DS Series comes in eight different sizes, including the new DS650 with 6.5-inch midrange drivers. DS Coaxials fit any speaker cutout, starting from the 3.5-inch DS350 up to a handy 6 x 8 DS680 if your ride requires them. The 6 x 9 offering is actually the thrashin' DS6930 3-way system which mixes in an additional 2-inch mid. DS460 Features CIMP (Curvilinear Injection-Molded Polypropylene Woofer Cones) A high performance composite, which remains rigid, minimizes cone flex and lowers harmonic distortion. The CIMP consists of a one-piece, injection-molded polypropylene material that moves as a piston, exhibiting power and control. Utilizes a high strength steel basket, features a low-profile open design, and provides a solid foundation for the precision-aligned motor assembly. Polypropylene cone with UV-treated ribbed surround. Enhanced BAM (Basket and Motor) Assembly Utilizes a high strength steel basket, features a low-profile open design, and provides a solid foundation for the precision-aligned motor assembly. Optimized Polyfoam Ribbed Surround Radius This allows extended cone excursion for additional bass output and higher SPL, and couples the suspension into a conjoined linear-motion body. High-Temp Polyimide Film Voice Coil Former improves sonic and conductive properties, and prevents thermal-electrical meltdown. PEN Dome Tweeter with Neodymium Magnet Provides a smooth high frequency response with quick, detailed and spatially-correct imaging. PEN is an acronym for the space age material ""biaxially oriented polypropylene naphthalate film""--your parents' tax dollars probably paid for its development, you might as well enjoy it. High-Power Tinsel Lead Wires These eliminate broken leads and power loss, due to the common use of ""insufficient-gauge"" lead wires. Ferro-Fluid Cooled tweeter voice-coil extends the high frequency transducer's life span. What's in the Box DS460 speaker (pair), Installation hardware, User's manual",Kicker,Coaxial Speakers,
GUNNAR Optiks Sparrow Digital Performance Eyewear - Onyx/Red,"GUNNAR Optiks Advanced Computer Eyewear is a technical eyewear solution that that protects, enhances, and optimizes your vision. GUNNAR eyewear helps reduce eye fatigue and visual stress, while improving contrast, comfort, and focus.",Gunnar Optiks,Audio & Video Accessories,
"BoxWave EverTouch Slimline Capacitive Stylus for iPad - Apple iPad Touch Screen Stylus w/ Thinner Barrel and Finer Point Ultra Durable FiberMesh Woven Fabric Tip for Ultra Responsive, Smoother Glide, and Increased Accuracy (Rose Pink)","Welcome to a whole new world!At BoxWave, our design is motivated by innovation, and our innovation is born from creating solutions. Our EverTouch Slimline Capacitive Stylus with FiberMesh is advanced stylus technology, also known for its slightly longer length and skinnier diameter. Our styluses are pen-shaped and extremely portable, for the best fitting and feeling touchscreen writing tools on the market.FiberMeshTM: Stylus InnovationIntroducing a breakthrough in stylus technology: The FiberMesh tip is precisely engineered with an extremely soft yet durable conductive woven fiber. Stylus StaminaThe FiberMesh tip is the longest lasting stylus tip on the market today. Seamlessly integrated with a metallic aluminum body of the perfect length and weight, the EverTouch Slimline Capacitive Stylus is built to last and quick to react. One Touch ResponseNo more double-tapping required. A single press of the EverTouch to the screen will pull up your app of choice. More bliss. Less frustration.Packed with FeaturesWatch as the FiberMesh tip cleans your screen as you use it. In addition, a 2 lanyard attaches to the headphone jack of your device for easy storing when not in use.The EverTouch Slimline Capacitive Stylus with FiberMesh technology from BoxWave: A True Leader in Innovation.",BoxWave,Styluses,$10.00
"COAXIAL ANTENNA CABLE 20 feet, with connectors",RG58U white coaxial cable with PL259 fittings on both ends. Lengths to fit most applications.,SEACHOICE,F-Pin-Coaxial Tip,$4.32
Koss KDE250 Dual Element Stereophone (Black/Silver),Koss DUAL ELEMENT EAR CLIP STEREOPHONE,Koss,Earbud Headphones,
"Amebay Dash Cam 2.31'' FHD 1080p Car Driving Camera DVR Video Recorder with Loop Recording,G-SensorBlack)","Features: 1080p FULL HD resolution 140 degree A + grade high - resolution wide angle lens The Advanced photography h. 264 compression will technology 2.4 inch high resolution LCD, can watch while shooting Automatically turn on/off function Support HDMI full HD video transmission Support TF memory card up to 32 gb( SD card is not included With Packaging) Seamless loop - cycle recording function Motion detection function G - sensor function Video record format: M-JPEG ,AVC1 File format: Video: AVI; Photo: JPEG Video save interval: 1 min/3 min/5min Language support: Chinese, English, French, German, Italian, Japanese, Polish, Portuguese, the Russian Battery: Li-ion battery, but due to the small size, it needs to be charged via car charger all the time, please consider it when ordering Note: 1.There is a protecting film on the screen that can prevent the screen from scratch, you can peel it off when you receive it. When you receive the camera,the camera can not be switched on.How to do? Please connect your camera directly to car power via car charger for a few hours first, not via USB. Because the camera has probably run out of power now. Charging the camera via USB cable or other chargers is not recommended, since voltage from these charging methods is not fully compatible with the camera, which will even cause damage to the camera if charged that way. Package included: 1 x New Amebay Car DVR 1 x Car Charger 1 x Usb cable 1 x Car Mount 1 x User Manual 1 x Packaging Box",Amebay,On-Dash Cameras,$1.96
Aquapac Waterproof Camcorder Case,"You dont really care whether your back is getting burnt at the moment, because the fish on this reef are unbelievable. Theyre like you see in the movies. The movies like the one you are making with your handycam; the one you got in the sale no less. Move over Jack Cousteau & Steven Spielberg, theres a new director in town, and you think you just saw a shark! FEATURES: You can shoot video right through hard lens window of the camcorder case - even underwater The hard lens is permanently attached to the case and cannot be removed. The Camcorder Case is compatible with most camcorders. Itll float with your camera in it. Its guaranteed submersible to 15 feet (5 meters). The UV-stabilized TPU material wont be broken down or discoloured by sunlight. It keeps out dust and sand too. Theyre a particular problem for camcoders",Aquapac,Housings,$5.19
wennow Premium 5Amp Power Adapter with 8 way splitter for Swann Cameras,Premium 5Amp Power Adapter with 8 way splitter for Swann Cameras,WennoW,AC Adapters,$22.83
"TRENDnet 3.5-Inch SATA Hard Drive Aluminum Enclosure - USB 3.0 SuperSpeed, Optimized for SATA 2 6.0Gbps hard drive transfer rate, TU3-S35","The 3.5” USB 3.0 External Enclosure, model TU3-S35, supports one 3.5” SATA I or II hard disk drive with storage capacities in excess of 1 Terabyte (hard drive sold separately). Store and transfer content at 5Gbps USB 3.0 speeds—10 times faster than USB 2.0.Install a SATA I or II hard drive and connect the enclosure to a 5Gbps USB 3.0 port on your computer. USB 3.0 is backward compatible with USB 2.0 ports. Large cooling vents and an aluminum housing cool the enclosed hard drive. An included mounting stand saves precious desk space. Save time by transferring large files at breakthrough 5Gbps USB 3.0 speeds. *Data is transferred over USB 3.0 connections at up to 5Gbps. However actual data throughput may be significantly affected by choice of hard drive, computer system architecture, CPU loading, and other factors.**USB 3.0 super speeds are based on compatible operating systems",TRENDnet,Data Storage,$14.99
"Top Case Extra slim Transparent TPU Keyboard Cover Skin for Apple Macbook with TOP CASE Mouse Pad (13"" MACBOOK WHITE, PURPLE)",Including a FREE TOP CASE Mouse Pad. Exclusively for sale by TOP CASE ONLY.,TOP CASE,Skins & Decals,$7.99
"Original Toshiba 45W AC adapter for Toshiba Satellite S955, Satellite S955D, Satellite S955D-S5150, Satellite S955D-S5374, Satellite S955-S5166, Satellite S955-S5373, Satellite S955-S5376.",Toshiba Replacement Laptop Charger - US Power Cord Included - Output: 19V 2.37A 45W,Toshiba,Chargers & Adapters,$24.47
Meade Instruments #126 1.25-Inch 2x Short-Focus Barlow Lens,"Our #126 2x Short Focus Barlow is our most commonly recommended Barlow lens. It doubles the power of any 1.25-Inch eyepiece without adding a very long extension between the telescope and the eyepiece. Designed for the ETX, it works well with any telescope.",Meade Instruments,Barlow Lenses,$20.87
"RG11 COAXIAL Cable with F Connectors on Each end - Tri-Shield Underground Coax Direct Burial Gel Coated Flooded Indoor/Outdoor Wire + Extra Barrel & 5 Screw Clips/by CableProof (250 FT, Black)","Description: Replace RG6/RG59/RG7 you now have, which looses a lot of signal over distance, with new Shielded Broadcast RG11 and get more Bandwidth. Easy to use with length markings on the cable every 2 ft. 14 AWG CCS Core, 75 Ohm, 3Ghz Swept Tested, 77% Aluminum Braid . Jelly Coated Direct Burial RG - 11 for Moisture and Soil Acidity tolerance , so you can use it inside or outside or even bury it, and still have same steady great signal for many many years. Tri Shield low loss RG 11 Coax is ideal for Satellite , High Definition Cable TV , CATV Installs , Cable Internet Modem , Off-Air Antenna Cabling , Short Wave Radio , Ham Radio , Electrical Sensor Devices , Long Range WiFi Antennas , Security Camera Installation , Cellular Signal Booster and all other Analog and High Frequency Digital Audio/Video Signal Transmission. Included with this cable: Male connector on each end already installed so cable is ready to be used straight out of the box ; barrel / coupler / adapter connector (if you need to connect / splice it with other cable) ; 5 screw clips (if you need to attach section of this cable to some wooden surface). Ships same day if you buy before 2pm ET / 11am PT, otherwise next business day. !!! Satisfaction 100% guaranteed !!!",CableProof,F-Pin-Coaxial Tip,
"XShields© (3-Pack) Screen Protectors for Mach Speed Trio Stealth G4 7"" Tablet (Ultra Clear)","Compatibility: Mach Speed Trio Stealth G4 7"" Tablet X-Shields Protectors offer the best scratch protection for your mobile devices. X-Shields revolutionary film leaves the sensitivity of your touch display unaltered and lets your HD display shine at its fullest potential. Unlike other sticky or rubbery films, this smooth, glassy film feels natural to the touch and couples perfectly with the use of a stylus.Your XShields purchase comes with a manufacturer Easy Lifetime Warranty(*)Product Includes - Full Kit:3 X-Shields ProtectorsX-Shields Installation InstructionsX-Shields screen safe microfiber cleaning clothX-Shields squeegeeSimplified Installation Instructions (More complete instructions come in packaging)Step 1 Thoroughly clean workspace and device.Step 2 Peel back the protective layer labeled ""Adhesive Backing 1"" about an inch or two.Step 3 Align the exposed edge of the protector with the edge of the device. A perfect initial alignment ensures the best installation results.Step 4 Once aligned, slowly lay the protector down.Step 5 Wrap the squeegee in the microfiber cloth and then press out any air bubbles.Step 6 Remove the protective film layer labeled ""Protective Layer 2"".Step 7 Buff the screen with the microfiber cloth and you're done. Enjoy!(*) Lifetime Warranty applies to the life of the device.",XShields,Screen Protectors,$1.99
Dell OptiPlex 469-0548 Desktop Computer - Intel Core i5 i5-2400 3.10 GHz - Mini-tower (469-0548),4 GB RAM - 500 GB HDD - DVD-Writer - Intel Graphics Media Accelerator HD 2000 Graphics Card - Genuine Windows 7 Professional - DisplayPort,Dell,Towers,
Home Acdc Power Supply Adapter Power Cable for Asus Notebook Computer Battery Charger U57a-bbl4 Ul50ag-a1 X301a X301a-eb31 X401a X401a-bhpdn39 X401a-hcl122i X401a-rbl4 X401a-rgn4 X401a-rpk4 X441 X441-bbk4 X44h-bbr4 X44h-bbr7,For fits asus note book U57A-BBL4 UL50AG-A1 X301A X301A-EB31 X401A X401A-BHPDN39 X401A-HCL122I X401A-RBL4 X401A-RGN4 X401A-RPK4 X441 X441-BBK4 X44H-BBR4 X44H-BBR7,BLUU,Chargers & Adapters,
Toshiba PX35T-A2300 23-Inch All-in-One Touchscreen Desktop (Discontinued by Manufacturer),"Toshiba PX35T-A2300 23"" Touchscreen All in One Computer",Toshiba,All-in-Ones,
"Solo Classic Collection iPad and e-Reader Jacket with Zipper, 9.7 Inches, Black and Blue, CLA132-4/5","You seek timeless design and proven organization. Rely on SOLO Classic. Rugged enough for constant use, intelligent enough for fast, easy access. You're a pro. Protect your iPad or 9.7 inch e-Reader with SOLO's microsuede lined jacket. Retractable ID tag on front and conservative design allows you to move through your day in perfect executive style. Cushioned, microsuede lined interior protects your iPad or e-Reader from scratches. Elastic bands holds iPad or e-Reader in place. Zippered closure keeps iPad or e-Reader secure.",SOLO,Cases,$7.85
Commercial MURS Portable 2 Way Radios,"Dakota Alert MURS handheld 2-way radio Receives alert signals from the MURS Alert transmitter and also can be used for two way voice communications between other MURS transceivers 5 Channels and 38 sub channels to help you communicate with other users Powered by 6 rechargeable AA batteries (included) that will last for about 40 hours on a charge Capable of communicating over distances of several miles (depending on terrain) FCC also allows you to use MURS without a license (although other radio services require a license, MURS is license free!) When an alert signal is received from the MURS Alert transmitter the HT will sound off with the voice of the alert signal and will also display an alert icon as a visual display that an alert signal has been received Many different applications for small businesses, farms, security guards, outdoorsmen; anyone who needs to have real time monitoring and two way voice communications will benefit from MURS Black",Dakota,Two-Way Radios,
USB 7.1 Channel Sound Card With Cable for Toshiba laptop,"USB 7.1 Channel Sound Card With Cable for Toshiba laptop . Makes your microphone and earphone sounds like a 7.1 sound channel effect.No driver needed, easy to plug and play.With high speed USB 2.0 interface and no external power needed.Feature:Suitable for both personal computer and desktop computerSupports 3D stereo sound channel USB bus power supply modeConnector: USB TYPE-A???stereo output jack mono microphone-input jackKeys: Microphone mute, speaker mute, voice +/-Compatible with WIN 7Compatible With Toshiba Satellite C655 Qosmio X505 Satellite L505 Satellite A505 Satellite A300 Satellite A205 Satellite L300 Satellite L305 Satellite L305D Satellite L500 Satellite A215 Portege R835 Satellite P775-S7215 Satellite L655 Satellite L455 Satellite A665 Portege M200 Portege M700 Satellite A500 Portege M800 Satellite A105 Satellite L505D Mini NB505 Qosmio X500 Satellite P205D Portege A600 Portege M400 Mini NB205 Mini NB305 Satellite L355 Qosmio F50 Portege R500 Satellite L355D Satellite L755 Satellite A100 Satellite A135 Portege R830 Satellite C655D Satellite Pro L770 Satellite L645D Portege R600 Satellite A305 Satellite C675 Satellite C640 Tecra M5 Satellite U305 Portege M750 Tecra M9 Satellite P755 Satellite L750 Portege Z835 Tecra M2 Satellite 1410 Satellite Pro U400 Satellite P500 Satellite A350 Portege M300 Satellite 305 Satellite A200 Satellite P205 Portege R200 Portege R100 Satellite A660 Tecra 9100 Satellite P750 Satellite L555 Satellite U505 Portege R705-ST2N03 Mini NB500 Satellite P300 Satellite L350 Satellite Pro 4300 Tecra M1 Tecra M8 Satellite L510 Tecra A8 Portege R700 Tecra A10 Libretto U100 Satellite L675D Qosmio F20 Tecra M4 Satellite A110 Portege M100 Satellite M505 Satellite Pro U300 Satellite A30 Satellite C650 Qosmio X305 Mini NB300 Satellite Pro C650 Tecra M10 Portege 3500 Portege R700-S1310 Satellite A355D Satellite 2450 Portege 3500 Tablet PC Portege R400 Satellite 1800 Mini NB250 Satellite 2410 Qosmio F30 Qosmio F45 Satellite 1400 Qosmio F25 Sate",CellularFactory,Internal Sound Cards,
NavePoint 15U Wall Mount Server Cabinet Enclosure Glass Door Lockable - 24 inch depth,"This wall mountable cabinet by NavePoint is great for organizing your servers and networking equipment. Made of high-quality SPCC Cold Rolled Steel. Comes flat-packed and requires some assembly. Available in 9U, 12U, 15U and 18U configurations.",NavePoint,TV Ceiling & Wall Mounts,
Sekonic 401-302 L-308S Flashmate Light Meter Anniversary Edition for Strobes - Red,"Sekonic is celebrating its 60th anniversary by offering a Limited-Edition series of ""COOL SHADES"": these color versions of the L-308S come in a choice of Red, Light Green and Pale Blue! This special limited-edition series has all the same functions and features of their popular black L-308SFlashmate with a flair for color. Don't wait. Get what are sure to be collector's items before they are gone! The Sekonic L-308S Flash mate is the smallest and lightest digital light meter in the Sekonic line-up. This pocket-sized Sekonic model is designed to measure ambient or flash exposures in either reflected or incident modes, and it displays accurate exposure readings in full-, half-, or third-stop increments to mirror the exposure settings of today's DSLR and film cameras. When set to full-stop mode, exposures are displayed in tenth-stop increments with a repeat accuracy of +/- 0.1 EV. The LCD screen is designed to emulate the look and feel of the display of its bigger brother, the Sekonic L-358 FlashMaster. Exposure data and related information are displayed using large type and easy-to-read icons, perfectly legible in even low-level lighting conditions. Besides shutter-speed and aperture readout, these colorful versions of the L-308S display EV values and cine frame rates from 8-128 fps, making it useful for today's cinematographers. The Limited-Edition Sekonic L-308S Flash mate COOL COLOR versions come with a matching color accented soft case, a Lumidisc (with pouch), a strap, a synchro terminal cap and an AA battery.",Sekonic,Light Meters,
"Plexon™ - Headrest 7"" LCD Car Monitors with Region Free DVD player USB SD Inc. Wireless Headhones and 32 Bit Games (Gray, Pair)","PLEXON Headrest DVD Player Monitors & Game System Package for Car/Truck/SUV -- Pair of Headrests with Built-In 7"" DVD USB SD VIDEO Monitors, Region Free Dvd Players+ 2 IR Wireless Headphones + 2 Wireless Controllers (GREY)",PlexonTM,Headrest Video,
Genuine IBM Lenovo Thinkcentre M58-M58P Desktop Computer Cases,Specifications - MPN: Lenovo Thinkcentre M58-M58P Case - Manufacturer: IBM - Compatible with: IBM Lenovo Thinkcentre M58-M58P - Note: Buyer will receive any of the compatible part numbers or manufacturers listed above which will work with your current Computer. Package Includes - 1 IBM Lenovo Thinkcentre M58-M58P Desktop Computer Cases,IBM,Folio Cases,
Accessory Wireless Speaker BLA,"- Intellitouch EOS accessory wireless stereo speaker- For use with the EOS wireless base station EOS100T1R or EOS100T1RB- GigaWave digital wireless technology- 2.1 Stereo audio- 2 Full range speakers with ported sub-woofer- SRS Digital sound enhancement technology- Simple plug and play operation - no complicated setup- Wireless link status LEDs- Independent volume control- Integrated power supply for plugging directly into walloutlet or removeable for desktop operation- Deep sounding bass- Crystal clear highs- 1 Year manufacturer's warranty- 150ft.Indoor range/300ft. outdoor range- 1.5Mbps Wireless transmission data rate- Digital spread spectrum technology- Dynamic frequency hopping modulation scheme- Operates in the 2400 to 2483 M frequency range- Proprietary advanced error protection and correction- Interference free from WiFi, Bluetooth, or cordless telephones- Wall mountable- BlackITCEOS100RB",Intellitouch,Memory,
"UCam247 UCam247-HDO1080 1080p Full HD Outdoor Wireless WiFi CCTV IP Camera with Built-in Cloud DVR, Quick Setup, View Live and Playback Clips using iOS and Android Apps, 15m Night Vision, Motion Sensor and ONVIF Ready","With an innovative 60 seconds setup system, outdoor Wi-Fi IP home CCTV security cameras don't come any easier or full featured than this.No port forwarding, DDNS or other complex setup needed. Setup and view in seconds using any iPhone, iPad or Android device with our Free app, from anywhere in the world. View easily via a web browser on Windows or Mac too.With a high quality rust proof metal casing, wide angle lens, water and dust proof, long range wireless, infra-red night vision, built-in DVR, motion sensor, email alerts and more, this is a truly all-in-one IP CCTV camera. The package also includes a metal camera mount, Free ethernet cable, and a PSU with cable of around 2m in length.Try our Live demo. Download the UCam247Live app from the iPhone App Store or Google Play. Click 'add a camera'. Enter UID as VHG5V97U6DURG1VWC7C1 (upper case), Account and Password/Security Code both as demo (lower case). When it shows as 'online', just tap to view!*Unique 3 step install system*Rated to IP67 for outdoor use*1080p Full HD video inc. MJPEG, MPEG4 & H.264 modes*Windows & Mac compatible*Free iPhone/iPad and Android apps for Live viewing and Remote Playback of DVR*Free viewing software for PC*No port forwarding or DDNS needed*Infrared night vision to 15 metres*Automatic IR filter for true day/night video*Multi-zone motion sensor*Micro SD DVR (supports cards up to 64GB)*Motion record/alerts via Email/FTP*Record to NAS ready*HQ audio*Secure WiFi 802.11b/g/n (WEP/WPA/WPA2)*Full control via a web browser""Does exactly what it says on the tin."" Says Latestgadgets. See the UCam247 website for more reviews.",UCam247,Hidden Cameras,
Ltvystore 1280pcs 64 Values 1 ohm - 10M ohm 1/4W Metal Film Resistors Assortment Kit Assorted Set,"Ltvystore 64 Values 1 ohm - 10M ohm 1/4W Metal Film Resistors Assortment Kit Specifications: Resistance range: 1 ohm - 10M ohm Working voltage: 250V Overload voltage: 500V Quantity: 64 values * 20pcs = 1280pcs Total weight: 164g / 5.8oz RESISTANCE,QTY 1ohm, 20 2.2ohm,20 4.7ohm,205.6ohm,20 7.5ohm, 20 8.2ohm,20 10ohm,2015ohm,20 22ohm, 20 27ohm,20 33ohm,20 39ohm,20 47ohm, 20 56ohm,20 68ohm,20 75ohm,20 82ohm, 20 100ohm,20 120ohm,20150ohm,20 180ohm, 20 220ohm,20 270ohm,20 330ohm,20 390ohm, 20470ohm,20 510ohm,20 680ohm,20 820ohm, 20 1Kohm,201.5Kohm,20 2.2Kohm,203.3Kohm,20 3.9Kohm,20 4.7Kohm,20 5.6Kohm,20 6.8Kohm,20 7.5Kohm,20 8.2Kohm,20 10Kohm,20 15Kohm, 20 22Kohm,20 33Kohm,20 39Kohm,20 47Kohm, 20 56Kohm,20 68Kohm,20 75Kohm,20 82Kohm, 20100Kohm,20 150Kohm,20 180Kohm,20 220Kohm,20 330Kohm,20 470Kohm,20 560Kohm,20 680Kohm,20 1Mohm,201.5Mohm,20 2Mohm,203.3Mohm,20 4.7Mohm,205.6Mohm,2010Mohm,20 Package Include: 1280pcs * 1/4W Metal Film Resistors",Ltvystore,Capacitors,$10.99
PAC RP3GM11 Radio Replacement Interface for GM Vehicles without On Star,Radio Replacement Interface for GM Vehicles without On Star,PAC,Audio & Video Accessories,$55.37
TT Systems TR-350 2-Speed Automatic Telephone Recording System,Automatically tapes your telephone calls,TT Systems,Digital Voice Recorders,
Zeadio Red Earpiece Headset for 2 PIN Kenwood Baofeng Puxing Quansheng Weierwei Wouxun HYT TYT Radio Plus Kg-659 Kg-659 Plus Kg-679 Kg-679 Plus Kg-uvd1p Etc.,"Compatible Radio Models: Kenwood TH-D7/D7A/D7AG/D7A(G)/D7E/F6/F6A/F7/F7E/G71/G71A/G71E TH-K2/K2A/K2AT/K2E/K2ET/21/21AT/21BT/22/22A/22AT/22E TH-25/26/27/28/31AT/31BT/41AT/41BT/42/42A/42AT/42E/45/46/47/48/55 TH-75/77/77A/77E/78/78A/78E/79/79A/79E/G71 TH-205/205A/205AT/205E/215/215A/225/225A/235/235A/235E TH-315/315A/415/415A/415E TK-208/220/240/240D/248/250/260/270/272/278G TK-308/320/340/340D/348/350/353/360G/360/370/370G/372G/372/373G/373/378G/388G TK-430/431/2100/2102/2102L/2107/2118/2160/2170/2200/2202/2212/2212K TK-3100/3101/3102/3107/3130/3131/3160/3170/3173/3200/3202/3230/3230XLS Etc. Linton LT-2288/3288/6288/5288/3188/2188/3260/2268/3268,/6288/6188/3288A Puxing PX333/888/888K/328/358/999/666/777/777PLUS Wouxun KG-UVD1/UVDIP KG-669/659/679/689/639/699/801 Quansheng TG-K4AT/2AT/22AT/45AT/42AT/25AT/UV Relm RPU416,RPV516,RPU499,RPV599X Weierwei VEV-3288S,VEV-6288,VEV-3288 Baofeng UV-5R Series BF-480/490/320/V6/520/530/999/888/777/666S/777S/888S HYT TC 278/286/378/386/388/2088/2100/2685/3865/6685 TYT Almost All with a two pin plug, former pin diameter of 3.5 mm and 2.5 mm in diameter after pin, double pin from 8 mm within, 11 mm center distance of 2 pin. About Zeadio (http://www.Zeadio.com) For customer service or warranty, please feel free to contact seller Zeadio or visit Zeadio official website: http://www.Zeadio.com",Zeadio,Headsets & Microphones,
VanGoddy Mary Travel Portfolio Case for efun Nextbook Ares 8 8-inch Tablet (Green & Tan),"The VanGoddy Mary makes the perfect travel companion for your tablet and can be used for any occasion. Whether you are at the office, work, school or simply just relaxing at your favorite coffee shop this case elegant faux leather tapestry and unique design are sure to turn heads wherever youre at. The Mary Portfolio case was created using two of VanGoddys prime materials. Both materials are simple to maintain and weather resistant. The exterior actively repels liquids without absorbing a single drop, while the interior creates water beads with minimal absorption that will glide off. The case includes a secure hand strap which allows you to securely hold and view your tablet using one hand. Weve also added a pop stand that will allow you to use your tablet comfortably in landscape mode, making more enjoyable to watch your favorite videos or face talk with friends and family. The 4 corner straps are designed to snugly hug your tablet to hold in place and prevent accidental drops. Designed to fit and protect efun Nextbook Ares 8 8-inch Tablet",Vangoddy,Tablet Accessories,$19.95
"OMNIHIL AC/DC Power Adapter Compatible with TC Electronic Guitar Pedals: Flashback Mini Delay, Flashback Delay, Flashback X4 Delay, Flashback Triple Delay Power Supply Charger, Compatible Part","Adapter Rating: World Wide 100V ~ 240V 50/60Hz / High Quality PSU/Transformer / All products are tested to exceed/meet standard specification / OVP, OCP, SCP Protection (OVP: Over Voltage output Protection. OCP: Over Current output Protection. SCP: Short Circuit output Protection) / FREE SHIPPING BOTH WAYS / 2 YEAR FREE WARRANTY / 3RD-PARTY ADAPTER NON OEM PARTS",OMNIHIL,AC Adapters,$11.96
"Sony VAIO Fit 15 SVF1521AGXB 15.5-Inch Laptop (1.8 GHz Intel Core i5-3337U Processor, 4GB DDR3L, 500GB HDD, Windows 7 Professional) Black","Say hello to the laptop that's the perfect blend of features, speed and style. Smartly designed with a thin, aluminum body, you'll also be wowed with options like Full HD displays.",Sony,Traditional Laptops,
Cisco-Linksys Antenna Stand for SMA Connectors AS1SMA,"Linksys Antenna Stand for SMA Connectors - Improve the reception of your wireless devices!The best place to locate wireless network antennas is out of the way of any reflective or signal blocking obstacles such as furniture, cabinets, mirrors, or even people. The Linksys Antenna Stand allows you to relocate your wireless networking device's current antenna, or better yet, a Linksys High Gain Antenna, to a location with clearer signal paths to the other devices in your wireless network.The Antenna Stand can be mounted up to 6 feet away from the wireless device. It comes with mounting slots to attach it to the ceiling, high on a wall, or it can just stand on a tall bookcase or shelf. Note that although the Antenna Stand's cable and connector cause some loss to the wireless signal, effective placement of the antenna above signal obstacles can easily create a net gain in wireless communications range and reliability.Increase your wireless network's performance with the Linksys Antenna Stand.",Linksys,Antennas,
"Koss KSC22I Ultra Lightweight Sport Ear-Clip Headphones, Black/Silver",Ultra Lightweight Active Sports Clip Headphones that suits the lifestyle of active people without worrying!,Koss,Headphones,$2.00
SanDisk Cruzer Titanium 4 GB USB 2.0 Flash Drive SDCZ7-4096-A10,"Cruzer Titanium is an extremely rugged and incredibly fast USB Flash Drive that connects to a computer's USB port. You can easily store their key documents, pictures, music & video clips and transfer them to another computer with a USB port. Small, compact size fits on any keychain. The retractable USB port eliminates the need for caps and protects your port. Cruzer Titanium is rugged, fast and smart. The Cruzer Titanium is built with Liquidmetal casing that is crush-resistant over 2000 pounds and has lightning speed up to 15MB per seconds write and read performance. Cruzer Titanium provides the latest in UFD technology, a U3 Smart capable flash drive. CruzerSync synchronization tool SignupShield password manager SKYPE voice over IP software AVAST virus scan Retractable USB connector Distinctive Blue LED Hi-Speed USB 2.0 certified (backwards compatible with all USB 1.1 ports) USB Mass Storage Class Device Compatible with Windows 2000 SP4 and XP Dimensions - Depth 7.14mm x Width 19.05mm x Length 57.94mm",SanDisk,USB Flash Drives,
